osm_id,osm_type,name,amenity,emergency,social_facility,emergency_social_facility,phone,website,operator,lat,lon,facility_type
7649461731,node,Prime Multispeciality Hospital,hospital,,,,,,,18.5535131,73.7537866,Hospital
7649461732,node,Goodwill Icon Hospital,hospital,,,,,,,18.5537182,73.9395977,Hospital
7649461733,node,Shreenath Hospital,hospital,,,,,,,18.4323612,73.9789156,Hospital
7649461734,node,Orchid Speciality Hospital,hospital,yes,,,,,Orchid Cure and Care Pvt. Ltd.,18.6005779,73.9096039,Hospital
7649461740,node,Golden Care Hospital,hospital,yes,,,+91 84484 44867;+91 77750 02255,,,18.6020756,73.7476511,Hospital
7649461741,node,Shree Sai Prasad Hospital,hospital,,,,,,,18.4495732,73.8484382,Hospital
7649461745,node,Petals Hospital,hospital,,,,,,,18.5492968,73.8888427,Hospital
7649461746,node,Gangotri Hospital,hospital,,,,,,,18.6724303,73.8260381,Hospital
7649461747,node,Dr. Agarwals Eye Hospital,hospital,,,,,,,18.5535506,73.80838,Hospital
7649461748,node,Fursungi Old ZP Hospital,hospital,,,,,,,18.4719058,73.977854,Hospital
7649461749,node,Shwas Multispeciality Hospital,hospital,,,,,,,18.4468202,73.8373703,Hospital
7649461750,node,Mauli Hospital,hospital,,,,,,,18.6245425,73.8577616,Hospital
7649461752,node,Londhe Hospital,hospital,,,,,,,18.4768406,73.9257973,Hospital
7649461753,node,Snehbandh Multispeciality Hospital,hospital,,,,,,,18.5806656,73.8307214,Hospital
7649461754,node,N. M. Wadia Hospital,hospital,,,,,,,18.530716,73.876952,Hospital
7649461756,node,Mahalunge Hospital,hospital,,,,,,,18.7554213,73.80879,Hospital
7649461757,node,Shahu Hospital,hospital,,,,,,,18.4820937,73.8993556,Hospital
7649461761,node,Mayureshwar Multispeciality Hospital,hospital,,,,,,,18.4488442,73.832632,Hospital
7649461763,node,Dr. Shraddha Angal,hospital,,,,,,,18.540958,73.829755,Hospital
7649461764,node,Nanal Hospital,hospital,,,,,,,18.6248618,73.8026145,Hospital
7649461768,node,Ayushree Hospital,hospital,,,,,,,18.6130394,73.7141648,Hospital
7649461770,node,Omkar Children Hospital,hospital,,,,,,,18.4890478,73.9498267,Hospital
7649461772,node,Giridhar Hospital,hospital,,,,,,,18.448229,73.83316,Hospital
7649461774,node,Noble Hospital,hospital,,,,,,,18.5035846,73.9273481,Hospital
7649461775,node,Global chemist,hospital,,,,,,,18.6143742,73.7657379,Hospital
7649461776,node,Vighnaharta Hospital,hospital,,,,,,,18.4849699,73.9553255,Hospital
7649461777,node,PCIP Hospital,hospital,,,,,,,18.624903,73.803616,Hospital
7649461779,node,New Command Hospital,hospital,,,,,,,18.4956457,73.884521,Hospital
7649461780,node,Sushrusha Hospital,hospital,,,,,,,18.483917,73.939737,Hospital
7649461781,node,Aditya Hospital,hospital,,,,,,,18.586342,73.813735,Hospital
7649461782,node,Public Civil Hospital,hospital,,,,,,,18.473903,73.9761783,Hospital
7649461783,node,Serene Hospital,hospital,,,,,,,18.569842,73.8823303,Hospital
7649461784,node,Sakhalkar Hospital,hospital,,,,,,,18.747103,73.4084439,Hospital
7649461785,node,Sanjeevani Hospital,hospital,,,,,,,18.5914168,73.7395295,Hospital
7649461787,node,Chaitanya General Hospital,hospital,,,,,,,18.519983,73.9067768,Hospital
7649461788,node,Dharmadhikari Hospital,hospital,,,,,,,18.5015481,73.9357865,Hospital
7649461789,node,Dinkar Hospital,hospital,,,,,,,18.4869268,73.9421209,Hospital
7649461791,node,Pagare Hospital,hospital,,,,,,,18.5889738,73.8165592,Hospital
7649461792,node,Shree Hospital,hospital,,,,,,,18.5515015,73.9411724,Hospital
7649461796,node,Dr. Babasaheb Ambedkar Cantonment General Hospital,hospital,,,,,,,18.5687508,73.8486366,Hospital
7649461798,node,Tongaonkar Hospital,hospital,,,,,,,18.653062,73.781126,Hospital
7649461799,node,Varad Hospital & Critical Care,hospital,,,,,,,18.6636382,73.735329,Hospital
7649461801,node,Harpale Hospital,hospital,,,,,,,18.486701,73.9520187,Hospital
7649461802,node,Life Care Multispecality Hospital,hospital,,,,,,,18.4879916,73.9389363,Hospital
7649461803,node,Sadhana Hospital,hospital,,,,,,,18.488725,73.949843,Hospital
7649461804,node,Bhakare Super Speciality Hospital,hospital,,,,,,,18.448115,73.849133,Hospital
7649461805,node,Kasturba General Hospital,hospital,,,,,,,18.5725401,73.8815063,Hospital
7649461806,node,Shree Sai Hospital,hospital,,,,,,,18.5102804,73.689908,Hospital
7649461807,node,Sudarshan Hospital,hospital,,,,,,,18.588825,73.817373,Hospital
7649461808,node,Niga Hospital,hospital,,,,,,,18.4897147,73.9500252,Hospital
7649461810,node,Vinayak Hospital,hospital,,,,,,,18.5684211,73.8797365,Hospital
7649461816,node,Shree Anand Memorial Hospital,hospital,,,,,,,18.6158378,73.7703502,Hospital
7649461817,node,Aadhar Hospital,hospital,,,,,,,18.4756335,73.9316237,Hospital
7649461818,node,Max Neuro Hospital,hospital,,,,,,,18.5984676,73.8285109,Hospital
7649461820,node,Mauli Lahan Mulanche Hospital,hospital,,,,,,,18.696125,74.139691,Hospital
